"Site","plot","Latitude","Longitude","time","start_year","end_year"
"NIWO","NIWO_022",40.038851,-105.557196,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_023",40.056627,-105.569307,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_025",40.055538,-105.571758,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_026",40.049574,-105.572043,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_041",40.05035,-105.582964,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_042",40.04845,-105.584355,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NOGP","NOGP_001",46.806092,-100.915421,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_002",46.798586,-100.911965,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_003",46.800934,-100.916415,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_005",46.786915,-100.915127,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_006",46.769079,-100.916842,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_007",46.811941,-100.904219,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_008",46.783513,-100.907936,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_009",46.801783,-100.914474,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_010",46.765843,-100.916361,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_011",46.779813,-100.920393,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_012",46.786096,-100.915884,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_013",46.774433,-100.919404,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_014",46.80763,-100.903673,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_017",46.792018,-100.916884,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_041",46.781417,-100.921628,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"NOGP","NOGP_062",46.772266,-100.919713,"2016,2017,2018,2019,2020,2021,2022",2016,2022
