siteID,N,Area,sr,spe_sta,spe_asyn,com_sta
SRER,8,3200,74.96212121,1.018817561,1.839034922,1.873641075
SRER,16,6400,101.8636364,1.057796769,1.794246551,1.897948205
SRER,32,12800,130.4318182,1.068934025,1.775597882,1.897996991
SRER,33,13200,132.75,1.06887394,1.783334501,1.906159774
ONAQ,1,400,13.18333333,1.318122008,1.628189829,2.146152846
ONAQ,2,800,19.56666667,1.428634028,1.743375609,2.490645718
ONAQ,4,1600,27.5,1.475282221,1.73848843,2.564761072
ONAQ,8,3200,37.71666667,1.618521373,1.768266786,2.861977585
ONAQ,16,6400,53.225,1.742720944,1.697913756,2.958989863
ONAQ,30,12000,82,1.803311468,1.800654883,3.247141599
ABBY,1,400,25.28787879,1.655043866,1.947145081,3.222610522
ABBY,2,800,38.67424242,1.839034951,1.93862288,3.565195233
ABBY,4,1600,56.75757576,2.084699036,1.918345892,3.999173831
ABBY,8,3200,73.62878788,2.403743112,1.740433652,4.183555403
ABBY,16,6400,93.70454545,2.778474185,1.592514147,4.424759448
ABBY,32,12800,124.0833333,3.209938195,1.512096669,4.853736853
ABBY,33,13200,128.75,3.18496661,1.527952431,4.866477474
DEJU,1,400,17.73387097,1.773876295,1.475604735,2.61754026
DEJU,2,800,27.99193548,1.891330169,1.455559076,2.752942794
DEJU,4,1600,40.15322581,2.027038197,1.407722861,2.853508009
DEJU,8,3200,55.34677419,2.160216998,1.349905414,2.916088621
DEJU,16,6400,73.7016129,2.330628872,1.310309911,3.053846109
DEJU,31,12400,97,2.41184781,1.237819256,2.985431661
HEAL,1,400,15.3671875,2.057930742,1.927217006,3.966079121
HEAL,2,800,22.3671875,2.11180559,2.167283125,4.576880619
HEAL,4,1600,31.453125,2.252550848,2.163412482,4.87319662
HEAL,8,3200,42.375,2.510051707,1.988098384,4.990229742
HEAL,16,6400,62.7890625,2.597813087,2.028325879,5.269211513
HEAL,32,12800,74,2.828687533,1.846023459,5.221823544
